date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:25	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%2247-6728e6c1-23b83d;;;%22	https://vinancee.com/robots.txt		(from )
00:38:25	76698/76698	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2008:38:29%20GMT	https://vinancee.com/	C:/My%20Web%20Sites/VINANCEE/vinancee.com/index.html	(from )
00:38:26	4668/4668	---M--	200	added ('OK')	image/png	etag:%22123c-64eb197e-23ba1d;;;%22	https://vinancee.com/assets/images/logoIcon/favicon.png	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/images/logoIcon/favicon.png	(from https://vinancee.com/)
00:38:26	6721/6721	---M--	200	added ('OK')	image/png	etag:%221a41-64ec5f36-23ba1e;;;%22	https://vinancee.com/assets/images/logoIcon/logo.png	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/images/logoIcon/logo.png	(from https://vinancee.com/)
00:38:26	317444/317444	---M--	200	added ('OK')	image/png	etag:%224d804-65f039d4-23ba24;;;%22	https://vinancee.com/assets/images/seo/64ed913d053d31693290813.png	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/images/seo/64ed913d053d31693290813.png	(from https://vinancee.com/)
00:38:26	163826/163826	---MCZ	200	added ('OK')	text/css	etag:W/%2227ff2-648b232c-23b891;br%22	https://vinancee.com/assets/global/css/bootstrap.min.css	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/global/css/bootstrap.min.css	(from https://vinancee.com/)
00:38:26	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22e7a9-648b232c-23b890;br%22	https://vinancee.com/assets/global/css/all.min.css	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/global/css/all.min.css	(from https://vinancee.com/)
00:38:27	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-648b232c-23b894;br%22	https://vinancee.com/assets/global/css/line-awesome.min.css	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/global/css/line-awesome.min.css	(from https://vinancee.com/)
00:38:27	147779/147779	---MCZ	200	added ('OK')	text/css	etag:W/%2224143-65f02d8a-23ba2b;br%22	https://vinancee.com/assets/templates/basic/css/main.css	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/templates/basic/css/main.css	(from https://vinancee.com/)
00:38:27	4607/4607	---MCZ	200	added ('OK')	text/css	etag:W/%2211ff-6749e9c9-23ba2a;br%22	https://vinancee.com/assets/templates/basic/css/custom.css	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/templates/basic/css/custom.css	(from https://vinancee.com/)
00:38:28	423/423	---M-Z	200	added ('OK')	application/json	date:Thu,%2019%20Dec%202024%2008:38:31%20GMT	https://vinancee.com/pwa/configuration	C:/My%20Web%20Sites/VINANCEE/vinancee.com/pwa/configuration.json	(from https://vinancee.com/)
00:38:28	1893/1893	---MCZ	200	added ('OK')	text/css	etag:W/%22765-630c75ac-23ba2e;br%22	https://vinancee.com/assets/templates/basic/css/slick.css	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/templates/basic/css/slick.css	(from https://vinancee.com/)
00:38:28	17658/17658	---MCZ	200	added ('OK')	text/css	etag:W/%2244fa-647f2c26-23ba2f;br%22	https://vinancee.com/assets/templates/basic/css/swiper.css	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/templates/basic/css/swiper.css	(from https://vinancee.com/)
00:38:29	74/74	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Dec%202024%2008:38:32%20GMT	https://vinancee.com/assets/templates/basic/css/color.php?color=00a6ff	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/templates/basic/css/colorf954.css	(from https://vinancee.com/)
00:38:29	4051/4051	---M--	200	added ('OK')	image/png	etag:%22fd3-64aaaeb4-23ba18;;;%22	https://vinancee.com/assets/images/language/64aa848532bab1688896645.png	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/images/language/64aa848532bab1688896645.png	(from https://vinancee.com/)
00:38:29	1700/1700	---M--	200	added ('OK')	image/png	etag:%226a4-64f86c0a-23ba1b;;;%22	https://vinancee.com/assets/images/language/64f841da10efe1693991386.png	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/images/language/64f841da10efe1693991386.png	(from https://vinancee.com/)
00:38:29	1467/1467	---M--	200	added ('OK')	image/png	etag:%225bb-64aaafb2-23ba19;;;%22	https://vinancee.com/assets/images/language/64aa85831e8b71688896899.png	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/images/language/64aa85831e8b71688896899.png	(from https://vinancee.com/)
00:38:29	2665/2665	---M--	200	added ('OK')	image/png	etag:%22a69-64aaaffc-23ba1a;;;%22	https://vinancee.com/assets/images/language/64aa85cc90f961688896972.png	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/images/language/64aa85cc90f961688896972.png	(from https://vinancee.com/)
00:38:30	23524/23524	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2008:38:33%20GMT	https://vinancee.com/user/login	C:/My%20Web%20Sites/VINANCEE/vinancee.com/user/login.html	(from https://vinancee.com/)
00:38:30	81935/81935	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2008:38:34%20GMT	https://vinancee.com/user/register	C:/My%20Web%20Sites/VINANCEE/vinancee.com/user/register.html	(from https://vinancee.com/)
00:38:31	46593/46593	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2008:38:34%20GMT	https://vinancee.com/market	C:/My%20Web%20Sites/VINANCEE/vinancee.com/market.html	(from https://vinancee.com/)
00:38:31	1534/1534	---M--	200	added ('OK')	image/png	etag:%225fe-6574770a-23b9d7;;;%22	https://vinancee.com/assets/images/extra_images/bar-chart.png	C:/My%20Web%20Sites/VINANCEE/vinancee.com/assets/images/extra_images/bar-chart.png	(from https://vinancee.com/)
00:38:31	137684/137684	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Dec%202024%2008:38:35%20GMT	https://vinancee.com/trade	C:/My%20Web%20Sites/VINANCEE/vinancee.com/trade.html	(from https://vinancee.com/)
